,Lat,Lon,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020
Mexico,23.63450000,-102.55280000,1,4,5,5,5,5,5,6,7,7,7,7,11,16,30,44,55,75,101,118,177
Aguascalientes,22.02166700,-102.35638900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4
Baja California,30.76405113,-116.00926030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
Baja California Sur,26.01333335,-111.35166350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,18.65365928,-91.82448019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiapas,16.74999697,-92.63337447,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Chihuahua,26.93335472,-105.66663580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Ciudad de Mexico,19.44244244,-99.13098820,1,2,2,2,2,2,2,2,3,3,3,3,5,6,11,17,18,18,21,21,31
Coahuila,28.32998781,-100.84997890,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colima,18.92038129,-103.87997480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Durango,25.57005292,-103.50002380,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3
Estado de Mexico,19.41001548,-99.02998661,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,6,6,9,10,10
Guanajuato,20.67001609,-101.49999090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4
Guerrero,17.54997398,-99.50000960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
Hidalgo,20.17043418,-98.73003076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jalisco,19.77001935,-104.36999660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,7,27
Michoacan,19.67997316,-100.56999600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morelos,18.92110476,-99.23999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nayarit,21.81999758,-105.22004810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuevo Leon,25.18999860,-99.83998885,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,12,14,19,25
Oaxaca,16.42999066,-95.01999882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Puebla,18.90002077,-98.44999618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,10,10,12
Queretaro,20.37998212,-100.00003080,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,6,7,7,9
Quintana Roo,21.20839057,-86.71145490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,6,6
San Luis Potosi,22.00001243,-99.66999923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,7,7
Sinaloa,23.19999086,-106.23003810,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3
Sonora,27.58000775,-109.92999310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tabasco,18.40002545,-93.22997888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tamaulipas,22.73335268,-98.95001734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Tlaxcala,19.31999514,-98.23000960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,17.93997601,-94.73999007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Yucatan,21.09998985,-89.27998743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,13
Zacatecas,22.35001691,-102.88001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
